項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
121,麗明營造股份有限公司,營造業(建築工程業),墜落、滾落,1,甲聖工業股份有限公司,甲聖工業彰濱工業區一期廠房新建工程,自高度約30.5公尺之屋頂鋼樑上墜落至地面,鹿港鎮工業西七路及鹿工北五路口,勞動部職業安全衛生署中區職業安全衛生中心,109/07/26,
122,田利環保企業社,支援服務業(建築物一般清潔服務業),墜落、滾落,1,全泉開發實業有限公司,澄德段23地號房屋清潔及外牆清洗工程,高雄市仁武區澄德段23地號,高雄市仁武區澄德段23地號,高雄市政府勞工局勞動檢查處,109/07/25,
123,華慶營造工程有限公司,營造業(建築工程業),墜落、滾落,1,華友聯開發股份有限公司,台南市南區大山段94地號集合住宅建築工程,臺南市南區本工程A棟南面11樓外牆施工架,台南市南區大山段94地號,勞動部職業安全衛生署南區職業安全衛生中心,109/07/24,
124,國際企業社,營造業(建物完工裝修工程業),墜落、滾落,1,合旺建設有限公司,新村路二段89號7戶新建工程,桃園市觀音區新村路2段89號,觀音區新村路2段89號,桃園市政府勞動檢查處,109/07/24,
125,梁oo,營造業(建物完工裝修工程業),墜落、滾落,1,林oo,整修工程,新竹市,-,勞動部職業安全衛生署北區職業安全衛生中心,109/07/22,
126,張正宗(即智富工程行),營造業(整地、基礎及結構工程業),感電,1,三友璟工業有限公司,新增建工程、二期工程,廠房2樓,高雄市路竹區中山路88巷19號,高雄市政府勞工局勞動檢查處,109/07/22,
127,旭源營造工程股份有限公司,營造業(建築工程業),墜落、滾落,1,三達彩色印刷股份有限公司,三三達新莊化成段廠辦新建工程（建照執照：106莊建字第00302號）,地上2樓電梯井,新北市新莊區化成路29巷8號對面工地,勞動部職業安全衛生署北區職業安全衛生中心,109/07/21,
128,OO消防工程顧問有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,嘉義縣OO鄉農會,嘉義縣OO鄉農會OO分部廁所新建、消防與無障礙改善及其他工程,嘉義縣OO鄉OO村OO號,-,勞動部職業安全衛生署南區職業安全衛生中心,109/07/21,
129,舜才實業股份有限公司,營造業(機電、電信及電路設備安裝業),被夾、被捲,1,文藻維納斯管理委員會,從事停車設備量測作業,高雄市三民區鼎信街25號地下室,-,高雄市政府勞工局勞動檢查處,109/07/21,
130,張OO(即東洋企業行),營造業(建物完工裝修工程業),墜落、滾落,1,楊○○,屏東縣潮州鎮敦化路民宅裝修工程,屏東縣潮州鎮本工程一樓客廳,-,勞動部職業安全衛生署南區職業安全衛生中心,109/07/20,
131,林○○（即○○不銹鋼工程行）,營造業(建物完工裝修工程業),墜落、滾落,1,李○○,屋頂防水修繕工程,2樓屋頂,-,新北市政府勞動檢查處,109/07/20,
132,長榮海運股份有限公司,運輸及倉儲業(海洋水運業),墜落、滾落,1,,長榮海運股份有限公司,高雄港117號碼頭,高雄港117號碼頭,高雄市政府勞工局勞動檢查處,109/07/20,
133,頂好富貴廣場公寓大廈管理委員會,其他服務業(未分類其他組織),墜落、滾落,1,,,頂好富貴廣場公寓大廈社區地下1樓停車場,新竹縣竹東鎮民德路64號,勞動部職業安全衛生署北區職業安全衛生中心,109/07/18,
134,銓鵬工程有限公司,製造業(產業用機械設備維修及安裝業),墜落、滾落,1,永覲工業股份有限公司,熱風爐、球磨機、輥壓機、提運機、穩流倉及鋼構等統包設備安裝工程,永覲工業股份有限公司廠內新建熱風爐區,高雄市小港區興業街15號,高雄市政府勞工局勞動檢查處,109/07/18,
135,塑華消防工程股份有限公司,營造業(冷凍、空調及管道工程業),墜落、滾落,1,南亞塑膠工業股份有限公司新港廠,南亞新港銅箔四廠火警消防系統,生箔區1樓維修平台靠近北側鋼構樓梯前方之開口處,嘉義縣新港鄉中洋村中洋工業區2號,勞動部職業安全衛生署南區職業安全衛生中心,109/07/17,
136,協資實業有限公司,製造業(金屬表面處理業),物體飛落,1,,,,嘉義縣六腳鄉六斗村六斗尾155之3號,勞動部職業安全衛生署南區職業安全衛生中心,109/07/16,
137,世展玻璃企業有限公司,批發及零售業(其他建材批發業),物體倒塌、崩塌,1,,,,-,新北市政府勞動檢查處,109/07/15,
138,源潤豐鑄造股份有限公司,製造業(鋼鐵鑄造業),物體飛落,1,-,-,A棟工廠,-,臺中市勞動檢查處,109/07/15,
139,美力營造股份有限公司,營造業(建築工程業),墜落、滾落,1,聯上實業股份有限公司,漁光案店舖住宅大樓新建工程,本工程A棟建築物7樓A3戶北面樓版開口處。,安平區漁光段886地號,勞動部職業安全衛生署南區職業安全衛生中心,109/07/13,
140,欣隆倉儲物流股份有限公司,運輸及倉儲業(其他陸上運輸業),墜落、滾落,1,欣隆倉儲物流股份有限公司,進行貨櫃堆高機之後扶架油壓滾輪修繕作業,於貨櫃堆高機維修廠內發生墜落死亡事故,-,桃園市政府勞動檢查處,109/07/12,
141,東宸土木包工業,營造業(建築工程業),墜落、滾落,1,-,農舍新建工程一棟及曬場,施工架,-,勞動部職業安全衛生署北區職業安全衛生中心,109/07/11,
142,劉OO,營造業(其他建築設備安裝業),墜落、滾落,1,尚未承攬,尚未承攬,台灣電力股份有限公司協和發電廠,-,勞動部職業安全衛生署北區職業安全衛生中心,109/07/10,
143,強固保全股份有限公司桃園分公司,支援服務業(保全及偵探業),其他交通事故,1,台灣電力股份有限公司大潭發電廠,109年度保全(警衛勤務)勞務性工作,大門入口車道,-,勞動部職業安全衛生署北區職業安全衛生中心,109/07/09,
144,健峰營造有限公司,營造業(建築工程業),墜落、滾落,1,隆霖開發有限公司,溪州進樂段962號等住宅新建工程,外牆施工架工作臺開口部分,彰化縣溪州鄉公園路95號對面,勞動部職業安全衛生署中區職業安全衛生中心,109/07/08,
145,騰耀起重工程有限公司,支援服務業(營造用機械設備租賃業),物體倒塌、崩塌,1,日觀實業股份有限公司,光復南路集合住宅新建工程,工區1樓中央處,臺北市松山區光復南路32巷10號對面工地,臺北市勞動檢查處,109/07/08,
146,友發土木包工業有限公司,營造業(其他專門營造業),墜落、滾落,1,陳炫佐(富祥汽車企業社),屋頂從事勘察作業,高雄市鼓山區大順一路988號,高雄市鼓山區大順一路988號,高雄市政府勞工局勞動檢查處,109/07/04,
147,廷昆企業有限公司,製造業(產業用機械設備維修及安裝業),與高溫、低溫之接觸,1,天聲工業股份有限公司,噴水回收桶安裝作業,天聲工業股份有限公司廠內新建熱浸鍍鋅槽處,高雄市岡山區本工西路23號,高雄市政府勞工局勞動檢查處,109/07/01,
148,立建工業股份有限公司,製造業(鋼鐵鑄造業),被撞,1,-,-,混砂作業區,-,臺中市勞動檢查處,109/06/30,
149,陳OO即富浥起重工程行,營造業(其他專門營造業),墜落、滾落,1,-,貨櫃吊掛作業,高雄市大寮區興隆路與信隆街路口,高雄市大寮區興隆路與信隆街,高雄市政府勞工局勞動檢查處,109/06/30,
150,00保全股份有限公司,支援服務業(保全及偵探業),墜落、滾落,1,00天廈管理委員會,,00天廈,-,勞動部職業安全衛生署南區職業安全衛生中心,109/06/29,
151,匯發營造有限公司,營造業(其他專門營造業),墜落、滾落,1,沛斯可有限公司,沛斯可有限公司廠房新建工程,結構體A棟1樓鋼構懸臂突出遮雨棚工作臺,桃園市觀音區大潭北路539號,桃園市政府勞動檢查處,109/06/29,
152,蕭○○（即○○○佛具店）,批發及零售業(其他全新商品零售業),火災,1,,,室內走道西南側,-,新北市政府勞動檢查處,109/06/28,
153,信毅營造有限公司,營造業(其他土木工程業),感電,1,行政院農業委員會水土保持局臺南分局,枋寮鄉基督教會前環境改善工程,屏東縣枋寮鄉本工程之集水井附近之既有排水溝處 (枋寮基督教會舊遺址前)。,枋寮鄉義民路,勞動部職業安全衛生署南區職業安全衛生中心,109/06/26,行政院農業委員會
154,惜福五金資源回收有限公司,用水供應及污染整治業(資源回收處理業),感電,1,連距電機股份有限公司,部分放電試驗室隔間工程,2樓頂加蓋鐵皮屋之部分放電試驗室隔間工程,-,桃園市政府勞動檢查處,109/06/26,
155,陳OO,營造業(其他專門營造業),墜落、滾落,1,大勝廢棄物清除有限公司,,大勝廢棄物清除有限公司,-,新北市政府勞動檢查處,109/06/25,
156,永隆營造有限公司,營造業(其他土木工程業),墜落、滾落,1,,售後服務工程,新竹市○○路○○巷○○弄○○號,○○路○○巷○○弄○○號,勞動部職業安全衛生署北區職業安全衛生中心,109/06/23,
157,新竹縣竹北市竹北國民小學,教育業(小學教育),墜落、滾落,1,,,新竹縣竹北市竹北國民小學活動中心,新竹縣竹北市中央路98號,勞動部職業安全衛生署北區職業安全衛生中心,109/06/22,
158,凱新實業有限公司,批發及零售業(汽機車零配件及用品零售業),墜落、滾落,1,凱新實業有限公司,,新竹市東區東光路186號,新竹市東區東光路186號,勞動部職業安全衛生署北區職業安全衛生中心,109/06/22,
159,山林水環境工程股份有限公司,營造業(其他專門營造業),墜落、滾落,1,內政部營建署,臺南市永康水資源回收中心及再生水廠新建工程統包工程,臺南市永康水資源回收中心,臺南市永康區,勞動部職業安全衛生署南區職業安全衛生中心,109/06/22,內政部
160,江OO,營造業(其他專門營造業),墜落、滾落,1,尚志畜牧場,,,-,新北市政府勞動檢查處,109/06/22,
161,萬鎰營造有限公司,營造業(其他土木工程業),物體倒塌、崩塌,1,京華城股份有限公司,（109拆015）京華城拆除工程,樓梯及樓板至8樓坍塌貫穿至1樓,臺北市松山區八德路4段138號,臺北市勞動檢查處,109/06/20,
162,OOO,營造業(建物完工裝修工程業),物體倒塌、崩塌,1,,,屋架,-,勞動部職業安全衛生署中區職業安全衛生中心,109/06/17,
163,永鑫餘工程有限公司,營造業(其他建築設備安裝業),墜落、滾落,1,,鋼構安裝及拆除工程,富海開發建設有限公司廠內,高雄市大寮區鳳林二路253號,高雄市政府勞工局勞動檢查處,109/06/16,
164,鍾OO(即聯玖企業社),電力及燃氣供應業(氣體燃料供應業),物體倒塌、崩塌,1,台灣中油股份有限公司天然氣事業部北區營業處,銅鑼鄉朝西段12吋12吋16吋遷管工程,苗栗縣銅鑼鄉西湖溪旁道路工作場所(E120.77803 N24.48954),-,勞動部職業安全衛生署中區職業安全衛生中心,109/06/14,經濟部
165,葉○○,營造業(建物完工裝修工程業),墜落、滾落,1,益百代投資有限公司,停車場雨棚修繕工程,桃園市中壢區興國路28號,-,桃園市政府勞動檢查處,109/06/13,
166,信玖渼玻璃實業有限公司,製造業(其他玻璃及其製品製造業),被刺、割、擦傷,1,,,信玖渼玻璃實業有限公司彰一廠,-,勞動部職業安全衛生署中區職業安全衛生中心,109/06/12,
167,常詠營造股份有限公司,營造業(建築工程業),墜落、滾落,1,聯晨國際股份有限公司,聯晨國際廠辦新建工程,臺南市安南區本工程廠房3樓樓板邊緣開口處,臺南市安南區十二佃127地號,勞動部職業安全衛生署南區職業安全衛生中心,109/06/11,
168,國立OOOO電臺,資訊及通訊傳播業(廣播業),物體飛落,1,,,臺南市白河區關嶺里2之6號,-,勞動部職業安全衛生署南區職業安全衛生中心,109/06/11,
169,黃ＯＯ（即上峰機械企業社）,製造業(金屬建築組件製造業),墜落、滾落,1,游ＯＯ(即東鑫企業社),屋頂浪板更換工程,-,-,勞動部職業安全衛生署北區職業安全衛生中心,109/06/10,
170,長德開發工程有限公司,營造業(道路工程業),墜落、滾落,1,新北市立自強國民中學,彩虹廣場地坪建置及燈具更新工程,地上1樓彩虹廣場,-,新北市政府勞動檢查處,109/06/10,
171,簡○○,營造業(整地、基礎及結構工程業),墜落、滾落,1,氟豹工業有限公司,,新北市八里區博物館路9號1樓營業場所,新北市八里區博物館路9號,新北市政府勞動檢查處,109/06/09,
172,張OO（即晟業油漆工程行）,營造業(建物完工裝修工程業),墜落、滾落,1,,廠房屋頂整修清潔噴漆工程,廣嶺企業股份有限公司,-,勞動部職業安全衛生署中區職業安全衛生中心,109/06/06,
173,勁光興業有限公司,營造業(機電、電信及電路設備安裝業),被夾、被捲,1,內政部營建署,屏東市瑞光路延伸開闢工程,本工程里程0K+835處,屏東縣屏東市瑞光路,勞動部職業安全衛生署南區職業安全衛生中心,109/06/06,內政部
174,鑫聖機械有限公司,營造業(整地、基礎及結構工程業),墜落、滾落,1,,鑫聖機械潮州廠房新建工程,本工程之A1柱及B-01梁接合處,屏東縣潮州鎮檨興段0848-0000地號,勞動部職業安全衛生署南區職業安全衛生中心,109/06/06,
175,詹ＯＯ,營造業(其他專門營造業),其他交通事故,1,行政院農業委員會水土保持局臺中分局,觀音道農路改善工程,苗栗縣大湖鄉觀音道農路0K+270,大湖鄉觀音道農路,勞動部職業安全衛生署中區職業安全衛生中心,109/06/02,行政院農業委員會
176,政志營造有限公司,營造業(其他專門營造業),溺斃,1,嘉義縣政府,荷苞嶼排水幹線馬稠後工業區下游治理工程(二工區),嘉義縣鹿草鄉荷苞嶼排水幹線滯洪池出流口處,-,勞動部職業安全衛生署南區職業安全衛生中心,109/06/02,
177,邱OO(自營作業者),運輸及倉儲業(汽車貨運業),被撞,1,廖OO,蔬菜載運作業,宜蘭縣大同鄉南山段696地號旁產業道路,-,勞動部職業安全衛生署北區職業安全衛生中心,109/06/01,
178,幸福水泥股份有限公司埔心廠,製造業(水泥製造業),墜落、滾落,1,,,,桃園市楊梅區梅獅路1段193號,桃園市政府勞動檢查處,109/05/30,
179,友太營造有限公司,營造業(建築工程業),墜落、滾落,1,林○,花蓮市明義段集合住宅新建工程（建照執照：花建執照字第107A111-113號）,花蓮市明義段集合住宅新建工程B棟屋突2樓雨遮處,花蓮市中正路561號旁,勞動部職業安全衛生署北區職業安全衛生中心,109/05/26,
180,國原營造股份有限公司,營造業(建築工程業),墜落、滾落,1,潤隆建設股份有限公司及亞昕國際開發股份有限公司,永翠案新建工程,,永翠路與藝文街口,勞動部職業安全衛生署北區職業安全衛生中心,109/05/26,
181,玉全鋁業有限公司,製造業(金屬建築組件製造業),墜落、滾落,1,楊oo,民宅後陽臺遮雨棚拆除及更新工程,略,-,臺北市勞動檢查處,109/05/26,
182,冠驊營造有限公司,營造業(其他專門營造業),墜落、滾落,1,經濟部水利署北區水資源局,大漢溪三光里岸邊崩塌地保育治理工程,桃園市復興區復華道路與彌榮吊橋交接處,336桃園市復興區復華道路,桃園市政府勞動檢查處,109/05/26,經濟部
183,嵩翰起重工程有限公司,營造業(建築工程業),跌倒,1,青鋼應用材料股份有限公司,青鋼應用材料股份有限公司廠房、辦公室新建工程,臺南市新市區新晶段48-6地號(青鋼應用材料股份有限公司廠房新建工程工地),臺南市新市區新晶段48-6地號,臺南市職安健康處,109/05/23,
184,東和鋼鐵企業股份有限公司桃園廠,製造業(鋼鐵軋延及擠型業),被夾、被捲,1,,,東和鋼鐵企業股份有限公司桃園廠廢鋼台車地下坑道,桃園市觀音區草漯116號,勞動部職業安全衛生署北區職業安全衛生中心,109/05/22,
185,周○○,營造業(整地、基礎及結構工程業),被撞,1,永茂森林山莊民宿,,永茂森林山莊民宿,-,勞動部職業安全衛生署北區職業安全衛生中心,109/05/19,
186,福清營造股份有限公司,營造業(其他土木工程業),被撞,1,交通部高速公路局第二新建工程處,國道高速公路後續路段橋梁耐震補強工程(區段1-1)第M37D標,南投高架橋P80橋墩,南投縣南投市,勞動部職業安全衛生署中區職業安全衛生中心,109/05/18,交通部
187,-,製造業(其他金屬加工處理業),墜落、滾落,1,新薇股份有限公司,6樓格柵板的上翼版防水工程,-,-,臺中市勞動檢查處,109/05/17,
188,吳OO,營造業(冷凍、空調及管道工程業),溺斃,1,盧OO,水電工程,花蓮縣壽豐鄉壽山段267地號,花蓮縣壽豐鄉壽山段267地號,勞動部職業安全衛生署北區職業安全衛生中心,109/05/16,
189,弘光開發營造股份有限公司,營造業(其他土木工程業),墜落、滾落,1,立鑫建設股份有限公司,店鋪集合住宅新建工程,中壢區雙嶺段1262、1266地號,中壢區雙嶺段1262、1266地號,桃園市政府勞動檢查處,109/05/16,
190,冬青綠化股份有限公司,支援服務業(綠化服務業),墜落、滾落,1,,臺東工務段成功監工站省道109年度綠美化維護工作,臺東縣東河鄉省道台23線39K+680處,-,勞動部職業安全衛生署南區職業安全衛生中心,109/05/15,交通部
191,中福營造股份有限公司,營造業(其他專門營造業),墜落、滾落,1,麗寶建設股份有限公司,淡水區公司田段肆層住宅新建工程,地上4樓外牆施工架,-,新北市政府勞動檢查處,109/05/15,
192,永?營造股份有限公司,營造業(道路工程業),其他交通事故,1,交通部高速公路局南區養護工程分局,新營段轄區瀝青混凝土路面整修及零星修補工程(108-109),國道1號北上線里程278K+100第1車道處。,臺南市後壁區,勞動部職業安全衛生署南區職業安全衛生中心,109/05/14,交通部
193,正隆股份有限公司大園廠,製造業(紙張製造業),物體飛落,1,,,桃園市大園區大工路116號,桃園市大園區大工路116號,勞動部職業安全衛生署北區職業安全衛生中心,109/05/13,
194,立久通訊工程有限公司,資訊及通訊傳播業(有線電信業),感電,1,,,新北市石門區靈山路106號之佛光山北海道場停車場內,-,新北市政府勞動檢查處,109/05/13,
195,吳○?(即奇嶽浪板企業社),營造業(其他專門營造業),墜落、滾落,1,伯達實業股份有限公司,伯達實業股份有限公司第三廠房屋頂浪板拆除工程,桃園市蘆竹區南山路2段121號,桃園市蘆竹區南山路2段121號,桃園市政府勞動檢查處,109/05/13,
196,加興營造工程股份有限公司,營造業(建築工程業),墜落、滾落,1,太普開發建設股份有限公司,左營區興隆案新建工程,左營區興隆案新建工程工地（高雄市左營區先勝路與崇實路口）,高雄市左營區先勝路與崇實路口,高雄市政府勞工局勞動檢查處,109/05/12,
197,榮剛材料科技股份有限公司新營廠,製造業(鋼鐵冶鍊業),物體倒塌、崩塌,1,榮剛材料科技股份有限公司新營廠,,臺南市新營區嘉芳里新中路35號,-,臺南市職安健康處,109/05/11,
198,李○○,營造業(冷凍、空調及管道工程業),墜落、滾落,1,李○○,屏東縣萬丹鄉○○村○○路○○號民宅冷氣安裝工程,屏東縣萬丹鄉○○村○○路○○號民宅旁鐵皮車庫屋頂,-,勞動部職業安全衛生署南區職業安全衛生中心,109/05/10,
199,三騏產業有限公司,製造業(其他塑膠製品製造業),物體倒塌、崩塌,1,,,桃園市中壢區福祥路390巷12號,桃園市中壢區福祥路390巷12號,桃園市政府勞動檢查處,109/05/09,
200,潘OO,其他服務業(汽車維修業),感電,1,祥盈貨運股份有限公司,車斗維修工作,昇弘汽車電機汽車維修場,-,勞動部職業安全衛生署北區職業安全衛生中心,109/05/05,
201,鐶琪塑膠股份有限公司中港分公司,製造業(塑膠皮、板及管材製造業),感電,1,-,-,雷刻作業區之雷射打印機,-,經濟部加工出口區管理處,109/05/05,
202,長榮鋼鐵股份有限公司新營廠,製造業(未分類其他基本金屬製造業),物體飛落,1,長榮鋼鐵股份有限公司新營廠,,臺南市鹽水區八德路66號,-,臺南市職安健康處,109/05/02,
203,葉OO(自然人),營造業(建物完工裝修工程業),墜落、滾落,1,蘇OO(即永進塑膠廠),屋頂鋼浪板防銹工程,蘇OO(即永進塑膠廠)廠內,臺南市仁德區新田里義林南路988巷12號,勞動部職業安全衛生署南區職業安全衛生中心,109/05/01,
204,淨潔環境有限公司,支援服務業(其他清潔服務業),物體倒塌、崩塌,1,,,桃園市觀音區白玉里10鄰下庄子19-1號旁農田,-,桃園市政府勞動檢查處,109/05/01,
205,永禾鼎企業有限公司,營造業(建物完工裝修工程業),墜落、滾落,1,林OO,萬丹林OO廠房新建工程,屏東縣萬丹鄉,屏東縣萬丹鄉,勞動部職業安全衛生署南區職業安全衛生中心,109/04/30,
206,泰赫頂級營造股份有限公司,營造業(建築工程業),物體倒塌、崩塌,1,桃園市政府交通局,桃園市平鎮區文化公園地下停車場興建工程,工區結構體地下3樓作業場所,桃園市平鎮區文化街與復興街口,桃園市政府勞動檢查處,109/04/30,
207,張??(即??油漆工程行),營造業(建物完工裝修工程業),墜落、滾落,1,董??,臺南市仁德區二仁路一段???號廠房油漆工程,臺南市仁德區二仁路一段???號,臺南市仁德區二仁路一段???號,勞動部職業安全衛生署南區職業安全衛生中心,109/04/29,
208,陳○○,營造業(建物完工裝修工程業),墜落、滾落,2,董○○,台南市新化區知義里知母義166號民宅屋頂浪板更換工程,台南市新化區知義里知母義166號本工程前側3樓陽台遮雨棚處,臺南市新化區知義里知母義166號,勞動部職業安全衛生署南區職業安全衛生中心,109/04/28,
209,森榮營造有限公司,營造業(建築工程業),墜落、滾落,1,國防部軍備局工程營產中心中部地區工程營產處,陸軍內角營區新建工程,嘉義乙廠兵舍4樓樓板開口邊緣處,臺南市白河區,勞動部職業安全衛生署南區職業安全衛生中心,109/04/24,國防部
210,三九企業有限公司,批發及零售業(回收物料批發業),被夾、被捲,1,,,新北市樹林區田尾街77號,新北市樹林區田尾街77號,新北市政府勞動檢查處,109/04/23,
211,林○○,營造業(其他專門營造業),墜落、滾落,1,林○○(即○○碾米工廠),雨遮安裝作業,林○○(即○○碾米工廠),新竹縣新豐鄉青埔子57之2號,勞動部職業安全衛生署北區職業安全衛生中心,109/04/16,
212,日盛節能工程股份有限公司,營造業(冷凍、空調及管道工程業),感電,1,總太地產開發股份有限公司台中分公司,-,-,-,臺中市勞動檢查處,109/04/16,
213,榮工實業股份有限公司,製造業(預拌混凝土製造業),被夾、被捲,1,,,榮工實業股份有限公司,高雄市楠梓區高楠公路1200號,高雄市政府勞工局勞動檢查處,109/04/15,
214,川立營造有限公司,營造業(其他專門營造業),物體倒塌、崩塌,1,廖○○,廖○○住宅新建裝修工程,開挖區旁,臺中市北區三民路3段101號,勞動部職業安全衛生署中區職業安全衛生中心,109/04/14,
215,三匯水電企業有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,隆興鋼鐵工業股份有限公司,隆興鋼鐵工業股份有限公司新廠K棟、L棟及J棟水電工程,高雄市路竹區中華路530號隆興鋼鐵工業股份有限公司新建廠L棟,高雄市路竹區中華路530號,高雄市政府勞工局勞動檢查處,109/04/13,
216,啟宇營造工程股份有限公司,營造業(建築工程業),墜落、滾落,1,中穎實業股份有限公司,嘉義縣大埔美大工一段住宅新建工程,本工程A1棟三樓外伸雨遮處,嘉義縣大林鎮大工一段122地號,勞動部職業安全衛生署南區職業安全衛生中心,109/04/09,
217,曜智實業股份有限公司,製造業(染整業),被夾、被捲,1,,,,嘉義縣太保市過溝里嘉太工業區中興路 1 1 號,勞動部職業安全衛生署南區職業安全衛生中心,109/04/08,
218,高鋒裝卸股份有限公司,運輸及倉儲業(其他水上運輸輔助業),溺斃,1,健航船務代理股份有限公司,船艙內之原木卸載作業,高雄港第56號,高雄港第56號,高雄市政府勞工局勞動檢查處,109/04/06,
219,遠東新世紀股份有限公司化學纖維總廠,製造業(人造纖維製造業),物體飛落,1,,,棉八廠重四科反應槽C-450加料口上方,-,勞動部職業安全衛生署北區職業安全衛生中心,109/04/02,
220,黃OO,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,何OO,雨遮防水補強工程,雨遮,-,新北市政府勞動檢查處,109/03/27,
221,松贊營造有限公司,營造業(整地、基礎及結構工程業),物體飛落,1,良誠建設有限公司,仁愛段大樓住宅新建工程,高雄市前鎮區衙慶一街61巷15號旁,高雄市前鎮區衙慶一街61巷15號旁,高雄市政府勞工局勞動檢查處,109/03/27,
222,晨禎營造股份有限公司,營造業(建築工程業),墜落、滾落,1,台灣百和工業股份有限公司,台灣百和工業股份有限公司9F廠辦大樓新建工程,外牆施工架,彰化縣和美鎮和港路575號,勞動部職業安全衛生署中區職業安全衛生中心,109/03/25,
223,-,其他服務業(汽車維修業),物體飛落,1,-,-,-,-,臺中市勞動檢查處,109/03/23,
224,日富營造股份有限公司,營造業(建築工程業),墜落、滾落,1,桃園市政府新建工程處,永安海螺文化體驗園區工程,桃園市新屋區新港路（崁頭厝段崁頭厝小段1106-1地號）,桃園市新屋區新港路,桃園市政府勞動檢查處,109/03/19,
225,黃oo(即永盛油漆工程行),製造業(金屬表面處理業),墜落、滾落,1,,,,大寮區鳳林二路531號,高雄市政府勞工局勞動檢查處,109/03/19,
226,台灣自來水股份有限公司第十一區管理處,用水供應及污染整治業(用水供應業),溺斃,1,,109年度第十一區管理處抽水機單價維護,彰化給水廠龍山加壓站4號機,-,勞動部職業安全衛生署中區職業安全衛生中心,109/03/18,
227,徐OO,運輸及倉儲業(汽車貨運業),墜落、滾落,1,-,-,-,-,勞動部職業安全衛生署北區職業安全衛生中心,109/03/13,
228,元記實業股份有限公司,製造業(黏土建築材料製造業),被夾、被捲,1,,,新北市鶯歌區中湖街258巷8號,-,新北市政府勞動檢查處,109/03/11,
229,誠富工業股份有限公司,製造業(未分類其他金屬製品製造業),物體倒塌、崩塌,1,,,台灣日立江森自控股份有限公司桃園工廠,桃園市蘆竹區內溪路29號,桃園市政府勞動檢查處,109/03/11,
230,陳○○,營造業(建物完工裝修工程業),物體倒塌、崩塌,1,吳○○,民宅室內裝修工程,基隆市七堵區,-,勞動部職業安全衛生署北區職業安全衛生中心,109/03/09,
231,楊進勇,營造業(其他專門營造業),墜落、滾落,1,,乾燥設備之集塵室更新工程,草屯鎮農會南埔辦事處,-,勞動部職業安全衛生署中區職業安全衛生中心,109/03/09,
232,順發汽艇行,運輸及倉儲業(港埠業),溺斃,2,,,臺北港內海面,-,新北市政府勞動檢查處,109/03/09,
233,新泉營造股份有限公司,營造業(建物完工裝修工程業),墜落、滾落,1,義大開發股份有限公司,義大開發-天悅大道頂棚鐵件工程,高雄市大樹區義大6街,高雄市大樹區義大6街,高雄市政府勞工局勞動檢查處,109/03/09,
234,嵐傑開發有限公司,營造業(其他土木工程業),墜落、滾落,1,博正國際醫院,博正國際醫院整修工程（門窗、二階段拆除、雜項工程）,高雄市左營區博愛二路100號,高雄市左營區博愛二路100號,高雄市政府勞工局勞動檢查處,109/03/09,
235,國家中山科學研究院化學研究所推進劑研製廠,公共行政及國防；強制性社會安全(國防事務),火災,2,國家中山科學研究院化學研究所推進劑研製廠,拆除下料管作業,509館鑄藥區,-,高雄市政府勞工局勞動檢查處,109/03/09,
236,1.王OO(即富程起重工程行) 2.暐聯營造股份有限公司,營造業(整地、基礎及結構工程業),墜落、滾落,3,,345KV天輪?龍潭線＃134-＃136電塔塔基改建工程,新竹縣北埔鄉竹37-1線9K處,-,勞動部職業安全衛生署北區職業安全衛生中心,109/03/07,經濟部
237,九太營造有限公司,營造業(建築工程業),墜落、滾落,1,北基國際開發實業股份有限公司,台南市安南區國安段1718地號H2集合住宅G3店鋪新建工程,台南市安南區本工程地下室E-LINE水平支撐處,台南市安南區國安段1718地號,勞動部職業安全衛生署南區職業安全衛生中心,109/03/07,
238,潘OO,營造業(建物完工裝修工程業),墜落、滾落,1,許OO,悅容莊9樓A7室內裝修工程,9樓A7住宅多功能房,-,新北市政府勞動檢查處,109/03/04,
239,灃寶營造有限公司,營造業(其他專門營造業),被撞,1,中龍鋼鐵股份有限公司,耐火材料爐襯修護工程,煉鐵廠2號高爐出鐵間南側,-,臺中市勞動檢查處,109/03/04,
240,東盟開發實業股份有限公司,製造業(鋼鐵軋延及擠型業),被夾、被捲,1,,,,臺南市學甲區秀昌里一秀155號,勞動部職業安全衛生署南區職業安全衛生中心,109/03/03,
241,中鼎工程股份有限公司,營造業(其他專門營造業),物體飛落,1,台灣電力股份有限公司,台中發電廠1~10號機供煤系統改善工程,基樁工程作業區,臺中市龍井區龍昌路1號,勞動部職業安全衛生署中區職業安全衛生中心,109/03/02,經濟部
242,-,營造業(建物完工裝修工程業),墜落、滾落,1,-,隱形鐵窗安裝工程,-,-,臺中市勞動檢查處,109/03/02,
243,吳OO,營造業(整地、基礎及結構工程業),物體倒塌、崩塌,1,洪OO,民宅拆除工程,2樓窗台,-,勞動部職業安全衛生署北區職業安全衛生中心,109/03/01,
