項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
133,齊裕營造股份有限公司,營造業(建築工程業),物體飛落,1,興富發建設股份有限公司,興富發建設桃園縣中壢市青溪段223、225、230、231等4筆地號住宅新建工程,桃園市中壢區永溪路與永園路1段交叉路口旁之工地,中壢區永溪路與永園路1段交叉路口旁之工地,桃園市政府勞動檢查處,108/08/05,
134,恆泰科技工程有限公司,營造業(冷凍、空調及管道工程業),感電,1,堉群實業股份有限公司、堉寶實業股份有限公司,宏泰世界大樓空調操作保養全責委任管理維護工程,宏泰世界大樓空調機房,臺北市松山區敦化北路168、170號,臺北市勞動檢查處,108/08/02,
135,健侑有限公司,製造業(鋼鐵鑄造業),墜落、滾落,1,,,健侑有限公司洗砂區上方屋頂,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/01,
136,欣揚治具有限公司,製造業(鋼鐵鑄造業),物體飛落,1,台北港貨櫃碼頭股份有限公司,橋式起重機電梯護網鏽蝕更換工程,台北港內10號橋式起重機升降機機坑,-,新北市政府勞動檢查處,108/07/28,
137,張○○,農、林、漁、牧業(稻作栽培業),被撞,1,無,無,張○○,-,勞動部職業安全衛生署中區職業安全衛生中心,108/07/25,
138,茂淂有限公司,營造業(機電、電信及電路設備安裝業),被撞,1,台灣電力股份有限公司花蓮區營業處,108年乙工區配電外線工程,花蓮縣瑞穗鄉瑞祥村紅山高支46號電線桿旁產業道路,-,勞動部職業安全衛生署北區職業安全衛生中心,108/07/24,
139,優生生物科技股份有限公司,製造業(醫用生物製品製造業),墜落、滾落,1,,,優生生物科技股份有限公司,-,中部科學園區管理局,108/07/24,
140,呂○○、李○○合夥,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,台北金融大樓股份有限公司,台北○○○購物中心6樓戶外屋突投射燈更新工程,臺北市信義區市府路45號,臺北市信義區市府路45號,臺北市勞動檢查處,108/07/23,
141,賴OO,營造業(其他專門營造業),墜落、滾落,1,陳OO,屋頂修繕工程,屋頂,-,新北市政府勞動檢查處,108/07/23,
142,陳OO(即陳OO畜牧場),農、林、漁、牧業(牛飼育業),被刺、割、擦傷,1,陳OO,,陳OO畜牧場內牧草切碎混合作業之工作場所,-,勞動部職業安全衛生署南區職業安全衛生中心,108/07/20,
143,謝OO,營造業(建築工程業),墜落、滾落,1,周OO（即OO手工冰淇淋）,鐵皮屋擴建工程,花蓮縣吉安鄉北安街81巷3號,-,勞動部職業安全衛生署北區職業安全衛生中心,108/07/19,
144,台正營造有限公司,營造業(其他土木工程業),物體倒塌、崩塌,1,臺北市政府工務局大地工程處,大安410號公園新建工程,擋土牆露天開挖作業場所,臺北市大安區和平東路3段512巷內,臺北市勞動檢查處,108/07/19,
145,同豐營造工程股份有限公司,營造業(整地、基礎及結構工程業),墜落、滾落,1,,,,-,新北市政府勞動檢查處,108/07/18,
146,鄭○○,營造業(其他土木工程業),墜落、滾落,1,盧○○,○市○街○號住宅整修工程,○市○街○號,-,勞動部職業安全衛生署南區職業安全衛生中心,108/07/17,
147,王OO（即昕宏工程行）,營造業(機電、電信及電路設備安裝業),感電,1,台奧北區股份有限公司,台奧北區廠房新建工程,台奧北區股份有限公司車道北側,新北市新莊區中正路54號,新北市政府勞動檢查處,108/07/17,
148,王○○,運輸及倉儲業(汽車貨運業),物體飛落,1,王○○,-,-,-,臺中市勞動檢查處,108/07/17,
149,坤倫營造工程有限公司,營造業(其他專門營造業),墜落、滾落,1,至遠企業股份有限公司,仁林路廠房部分拆除暨整建工程,屋頂,高雄市仁武區仁林路236之1號,高雄市政府勞工局勞動檢查處,108/07/17,
150,興泰水電工程有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,高雄市政府工務局新建工程處,海洋文化及流行音樂中心（高雄港11-12號碼頭及光榮碼頭區域）新建工程,頂樓邊緣,高雄市苓雅區海邊路與英雄路口西側工地,高雄市政府勞工局勞動檢查處,108/07/17,
151,郭OO（即鼎豐保溫工程行）,營造業(冷凍、空調及管道工程業),感電,1,生達化學製藥股份有限公司(二廠),合成倉儲氣冷式主機更新工程,生達化學製藥股份有限公司(二廠)廠內,臺南市新營區土庫里開元路154號,勞動部職業安全衛生署南區職業安全衛生中心,108/07/16,
152,廣達國際物流股份有限公司,運輸及倉儲業(其他運輸輔助業),被夾、被捲,1,-,從事貨櫃搬運作業,高雄市林園區南星路99號,高雄市林園區南星路99號,高雄市政府勞工局勞動檢查處,108/07/15,
153,景文營造工程有限公司,營造業(建築工程業),物體飛落,1,信和股份有限公司,信和龜山廠房一期增建工程,桃園市龜山區龍校街139號,龜山區龍校街139號,桃園市政府勞動檢查處,108/07/14,
154,黃○○(即○○畜牧場),農、林、漁、牧業(豬飼育業),與高溫、低溫之接觸,1,,,屏東縣九如鄉九如路二段1巷33號畜牧場內廚餘烹煮池,-,勞動部職業安全衛生署南區職業安全衛生中心,108/07/13,
155,昇達金屬工程有限公司,營造業(其他專門營造業),墜落、滾落,1,陸軍第四地區支援指揮部,岡山作業組7、8號油池暨附屬設施整修工程,高雄市岡山區介壽西路西首1號,高雄市岡山區介壽西路西首1號,高雄市政府勞工局勞動檢查處,108/07/13,國防部
156,萬士益冷氣股份有限公司,批發及零售業(家用電器批發業),感電,1,韓屋村有限公司,,臺北市大安區光復南路180巷8號1樓,,臺北市勞動檢查處,108/07/12,
157,國雄起重工程有限公司,營造業(其他專門營造業),物體飛落,1,穎台科技股份有限公司,押出機起重工程,穎台科技股份有限公司平鎮二廠,桃園市平鎮區工業六路2號,桃園市政府勞動檢查處,108/07/12,
158,吳OO,營造業(建物完工裝修工程業),墜落、滾落,1,群美商標股份有限公司,北側廠房屋頂浪板拆換作業,群美商標股份有限公司北側廠房屋頂,-,臺中市勞動檢查處,108/07/10,
159,賀立安有限公司,製造業(塑膠原料製造業),物體倒塌、崩塌,1,,,賀立安有限公司工廠鐵捲門處,高雄市阿蓮區中路151之46號,高雄市政府勞工局勞動檢查處,108/07/10,
160,有限責任臺北市機關勞務勞動合作社,支援服務業(其他清潔服務業),墜落、滾落,1,國軍退除役官兵輔導委員會臺北榮譽國民之家,,養護一區B棟頂樓,新北市三峽區白雞路127號,新北市政府勞動檢查處,108/07/08,
161,陳OO（即勇鑫工程行）,營造業(其他專門營造業),墜落、滾落,1,輔仁大學學校財團法人輔仁大學,宜聖宿舍新建工程,D棟地上3樓外牆施工架,新北市新莊區三泰路56號對面,新北市政府勞動檢查處,108/07/06,
162,吳OO,營造業(建物完工裝修工程業),墜落、滾落,1,曾OO,曾OO鐵皮屋修繕工程,曾OO鐵皮屋,-,桃園市政府勞動檢查處,108/07/06,
163,燁聯鋼鐵股份有限公司,製造業(鋼鐵軋延及擠型業),墜落、滾落,1,,,燁聯鋼鐵股份有限公司冷軋三廠電氣室頂層,高雄市岡山區興隆街600號,高雄市政府勞工局勞動檢查處,108/07/05,
