項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
291,莊○○,營造業(建築工程業),墜落、滾落,1,蔡OO,嘉義縣新港鄉潭大村住宅屋頂換修工程,鐵皮倉庫 屋頂,-,勞動部職業安全衛生署南區職業安全衛生中心,108/02/27,
292,嘉宏工程行,營造業(其他專門營造業),墜落、滾落,1,-,-,最上層外牆施工架,-,高雄市政府勞工局勞動檢查處,108/02/24,
293,正吉工程行,營造業(其他專門營造業),墜落、滾落,1,王OO,王OO農舍增建工程,3樓陽臺施工架工作臺,-,勞動部職業安全衛生署中區職業安全衛生中心,108/02/23,
294,旭大建設有限公司,營造業(建物完工裝修工程業),墜落、滾落,1,旭大建設有限公司,仁武二期金鼎段透天案新建外牆塗料工程,南棟1樓地面,高雄市仁武區大智三街37號/金鼎段69地號,高雄市政府勞工局勞動檢查處,108/02/22,
295,李○○,農、林、漁、牧業(稻作栽培業),被撞,1,無,無,苗栗縣苑裡鎮山柑里山柑115-15號後方農田,-,勞動部職業安全衛生署中區職業安全衛生中心,108/02/21,
296,邱ＯＯ,營造業(其他專門營造業),墜落、滾落,1,徐ＯＯ,徐ＯＯ自宅整修工程,建築物2樓頂C型鋼鎖固作業場所,新竹縣新豐鄉新興路26-4號,勞動部職業安全衛生署北區職業安全衛生中心,108/02/19,
297,瑞助營造股份有限公司,營造業(其他專門營造業),物體飛落,1,高雄市政府工務局新建工程處,高齡整合長期照護中心新建工程（建築部分）,模板吊料作業區,高雄市苓雅區凱旋二路130號高雄市立民生醫院旁工地,高雄市政府勞工局勞動檢查處,108/02/13,
298,穩泰水電工程有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,臺中市太平區公所,108年度臺中市太平區路燈零星增設及養護工程(開口契約),德利路與潭底農路口處之路燈(編號：17361)下方,-,臺中市勞動檢查處,108/02/12,
299,王○○,藝術、娛樂及休閒服務業(其他娛樂及休閒服務業),墜落、滾落,1,,,花蓮縣萬榮鄉明利山萬榮林道(鳳林-玉里一路10號電塔下方約300公尺處),-,勞動部職業安全衛生署北區職業安全衛生中心,108/02/10,
300,陳OO,營造業(冷凍、空調及管道工程業),火災,4,嘉里大榮物流股份有限公司,嘉里大榮物流股份有限公司觀音物流中心新建冷凍工程,嘉里大榮物流股份有限公司觀音物流中心,桃園市觀音區桃科二路288號,桃園市政府勞動檢查處,108/02/06,
301,俊鼎機械廠股份有限公司,製造業(金屬結構製造業),被夾、被捲,1,○,HHCR建造統包工程,東側管溝內,雲林縣麥寮鄉,勞動部職業安全衛生署中區職業安全衛生中心,108/02/01,
302,泰鑫起重工程有限公司,批發及零售業(金屬建材批發業),墜落、滾落,1,交通部臺灣鐵路管理局宜蘭工務段,鐵路行車安全改善六年計畫（平溪線K10+724.43~781.25路基加固修復工程）,新北市平溪區106線62.7K,新北市平溪區中華街10號之1旁,新北市政府勞動檢查處,108/02/01,交通部
303,六福開發股份有限公司,藝術、娛樂及休閒服務業(遊樂園及主題樂園),墜落、滾落,1,無,無,六福開發股份有限公司所屬六福村主題遊樂園魔幻劇場,-,勞動部職業安全衛生署北區職業安全衛生中心,108/01/31,
304,李oo,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,台北日記股份有限公司,大亞會館衛浴/拆除/玻璃/鐵工/隔間/鋁窗/木工含木作/水電/泥作/冷氣/壁紙地毯/弱電/消防等以上工程,編號48號房間,臺北市中正區忠孝西路1段50號4樓,臺北市勞動檢查處,108/01/30,
305,立瑞畜產有限公司,製造業(肉類其他加工及保藏業),物體倒塌、崩塌,1,,,,-,勞動部職業安全衛生署中區職業安全衛生中心,108/01/28,
306,立揚貿易有限公司,批發及零售業(綜合商品批發業),物體倒塌、崩塌,1,,,倉庫粽葉捆包堆置區,-,勞動部職業安全衛生署南區職業安全衛生中心,108/01/26,
307,錦山企業有限公司,製造業(預拌混凝土製造業),被夾、被捲,1,,,錦山企業有限公司,-,勞動部職業安全衛生署北區職業安全衛生中心,108/01/23,
308,海洋森林游泳氧身館,藝術、娛樂及休閒服務業(運動場館),墜落、滾落,1,無,無,游泳池屋頂,彰化縣員林市建國路289號,勞動部職業安全衛生署中區職業安全衛生中心,108/01/23,
309,林O(即?成工程行),營造業(其他專門營造業),物體飛落,1,慶山建設股份有限公司,慶山大仁尊爵住宅大樓興建工程,地下2樓,臺中市豐原區三豐路1段103巷,勞動部職業安全衛生署中區職業安全衛生中心,108/01/20,
310,綠廾院實業有限公司,營造業(庭園景觀工程業),物體倒塌、崩塌,1,臺北市政府工務局水利工程處,107年度河濱公園及河川區域環境委託維護工作(東右),臺北市中山區中山北路四段往士林、大直方向過了中山橋後與圓山河濱公園出口之間斜坡道,-,臺北市勞動檢查處,108/01/19,
311,東和鋼鐵企業股份有限公司苗栗廠,製造業(鋼鐵軋延及擠型業),被撞,1,,,東和鋼鐵企業股份有限公司苗栗廠成品倉庫,-,勞動部職業安全衛生署中區職業安全衛生中心,108/01/14,
312,元昱建設開發有限公司,不動產業(不動產開發業),墜落、滾落,1,,薪厝3新建工程,A棟南向外牆施工架處,台南市善化區,勞動部職業安全衛生署南區職業安全衛生中心,108/01/12,
313,加興營造工程股份有限公司,營造業(),墜落、滾落,1,太普開發建設股份有限公司,太普建設德北A案住宅大樓新建工程,A棟南側13樓高度約43.8公尺之吊料平臺,高雄市三民區德北街與康平街交叉口,高雄市政府勞工局勞動檢查處,108/01/09,
314,楊OO,營造業(建物完工裝修工程業),墜落、滾落,1,曾oo,高雄市鼓山區oo民宅整修工程,開口部分,-,高雄市政府勞工局勞動檢查處,108/01/09,
315,互助營造股份有限公司,營造業(建築工程業),墜落、滾落,1,臺南市政府文化局,臺南市立圖書館總館新建工程,4樓柱位編號X10-X11/Y9樓版開口處,臺南市永康區,勞動部職業安全衛生署南區職業安全衛生中心,108/01/08,
316,邵○○,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,謝oo,屏東縣琉球鄉天台段603、603-1、605、605-1地號新建工程,1樓東南側浴廁內,屏東縣琉球鄉番仔屋,勞動部職業安全衛生署南區職業安全衛生中心,108/01/05,
317,中鴻鋼鐵股份有限公司鋼管廠鹿港分廠,製造業(鋼鐵軋延及擠型業),物體飛落,1,,,4號管車解捲機入料區,-,勞動部職業安全衛生署中區職業安全衛生中心,108/01/03,
318,詮王企業社,批發及零售業(其他機械器具批發業),墜落、滾落,1,亞大名園管理委員會,濾水設備維修保養工程,亞大名園社區頂樓屋突水塔,-,勞動部職業安全衛生署中區職業安全衛生中心,108/01/02,
